Vita1a	1	1	7969906
Vita1b	1	7969906	34173196
Vita1c	1	87986124	143770506
Vita2a	2	71846197	99777113
Vita2b	2	92975818	125083168
Vita2c	2	122685194	180055272
Vita3a	3	42232742	121463445
Vita3b	3	68084635	121463445
Vita4a	4	30761996	63272545
Vita5a	5	36613621	90217582
Vita6a	6	97252294	122290952
Vita6b	6	132762500	149736546
Vita9a	9	13442519	39046745
Vita9b	9	95323685	116536254
Vita9c	9	108054895	124359700
Vita10a	10	56745317	100488594
Vita11a	11	1	30104580
Vita11b	11	59009193	109367495
Vita12a	12	99576264	120129022
Vita13a	13	76135291	104111134
Vita14a	14	78415875	118874224
Vita15a	15	62405371	88420584
Vita17a	17	8288690	48308023
Vita18a	18	38240954	70827226
VitaXa	X	1	69830745
VitaXb	X	150646933	169476592
