Vita1a	1	1	3010272	7969906
Vita1b	1	7969906	24042124	34173196
Vita1c	1	87986124	120474787	143770506
Vita2a	2	71846197	89844287	99777113
Vita2b	2	92975818	112712327	125083168
Vita2c	2	132808839	148442635	161871392
Vita3a	3	42232742	83838529	121463445
Vita3b	3	68084635	92135706	121463445
Vita4a	4	30761996	52524395	63272545
Vita5a	5	36613621	67573068	90217582
Vita6a	6	97252294	107382038	122290952
Vita6b	6	108075853	132762500	149736546
Vita9a	9	13442519	29939029	44688426
Vita9b	9	95323685	104091597	116536254
Vita9c	9	108054895	124056586	124359700
Vita10a	10	56745317	72780332	100488594
Vita11a	11	1	5628810	30104580
Vita11b	11	59009193	82178599	109367495
Vita12a	12	99576264	112855820	120129022
Vita13a	13	76135291	89689878	104111134
Vita14a	14	78415875	101437457	118874224
Vita15a	15	62405371	74248242	88420584
Vita17a	17	8288690	32883804	48308023
Vita18a	18	38240954	60822951	70827226
VitaXa	X	1	36008085	69830745
VitaXb	X	150646933	156343080	169476592
